timestamp,scenario,intersection_id,direction,density,queue,avg_speed,flow,capacity,phase
290.0,normal,C,S,0.04,0.0,12.32,18.0,50.0,0.0
290.0,normal,C,E,0.12,4.0,2.82,4.0,50.0,0.0
290.0,normal,C,W,0.14,5.0,2.76,4.0,50.0,0.0
295.0,normal,C,N,0.04,0.0,12.21,20.0,50.0,0.0
295.0,normal,C,S,0.04,0.0,11.14,20.0,50.0,0.0
295.0,normal,C,E,0.12,4.0,2.82,2.0,50.0,0.0
295.0,normal,C,W,0.14,5.0,3.09,2.0,50.0,0.0
300.0,normal,C,N,0.04,0.0,12.11,20.0,50.0,0.0
300.0,normal,C,S,0.06,0.0,13.52,20.0,50.0,0.0
300.0,normal,C,E,0.14,5.0,3.14,0.0,50.0,0.0
300.0,normal,C,W,0.16,6.0,2.57,0.0,50.0,0.0
305.0,normal,C,N,0.04,0.0,13.81,22.0,50.0,0.0
305.0,normal,C,S,0.06,0.0,13.79,22.0,50.0,0.0
305.0,normal,C,E,0.16,6.0,2.09,0.0,50.0,0.0
305.0,normal,C,W,0.18,7.0,2.03,0.0,50.0,0.0
310.0,normal,C,N,0.04,0.0,13.97,20.0,50.0,0.0
310.0,normal,C,S,0.04,0.0,13.46,20.0,50.0,0.0
310.0,normal,C,E,0.18,6.0,1.89,0.0,50.0,0.0
310.0,normal,C,W,0.18,7.0,1.44,0.0,50.0,0.0
315.0,normal,C,N,0.04,0.0,8.07,16.0,50.0,1.0
315.0,normal,C,S,0.04,0.0,12.89,16.0,50.0,1.0
315.0,normal,C,E,0.2,7.0,3.16,0.0,50.0,1.0
315.0,normal,C,W,0.2,8.0,2.33,0.0,50.0,1.0
320.0,normal,C,N,0.06,1.0,6.92,10.0,50.0,2.0
320.0,normal,C,S,0.06,1.0,5.67,12.0,50.0,2.0
320.0,normal,C,E,0.16,3.0,4.32,4.0,50.0,2.0
320.0,normal,C,W,0.2,5.0,3.05,4.0,50.0,2.0
325.0,normal,C,N,0.06,1.0,6.38,6.0,50.0,2.0
325.0,normal,C,S,0.06,1.0,8.31,8.0,50.0,2.0
325.0,normal,C,E,0.14,0.0,6.05,8.0,50.0,2.0
325.0,normal,C,W,0.18,2.0,5.45,8.0,50.0,2.0
330.0,normal,C,N,0.08,2.0,5.18,4.0,50.0,2.0
330.0,normal,C,S,0.08,2.0,5.9,6.0,50.0,2.0
330.0,normal,C,E,0.1,0.0,10.17,14.0,50.0,2.0
330.0,normal,C,W,0.12,0.0,8.85,14.0,50.0,2.0
335.0,normal,C,N,0.08,2.0,3.26,4.0,50.0,2.0
335.0,normal,C,S,0.08,2.0,3.95,6.0,50.0,2.0
335.0,normal,C,E,0.04,0.0,12.82,20.0,50.0,2.0
335.0,normal,C,W,0.12,0.0,11.9,18.0,50.0,2.0
340.0,normal,C,N,0.1,3.0,4.02,2.0,50.0,2.0
340.0,normal,C,S,0.1,3.0,4.79,4.0,50.0,2.0
340.0,normal,C,E,0.04,0.0,12.55,22.0,50.0,2.0
340.0,normal,C,W,0.08,0.0,12.34,24.0,50.0,2.0
345.0,normal,C,N,0.12,4.0,2.87,0.0,50.0,2.0
345.0,normal,C,S,0.12,4.0,2.22,2.0,50.0,2.0
345.0,normal,C,E,0.06,0.0,12.56,22.0,50.0,2.0
345.0,normal,C,W,0.06,0.0,13.2,26.0,50.0,2.0
350.0,normal,C,N,0.12,4.0,3.96,0.0,50.0,2.0
350.0,normal,C,S,0.12,4.0,4.1,0.0,50.0,2.0
350.0,normal,C,E,0.04,0.0,13.43,24.0,50.0,2.0
350.0,normal,C,W,0.06,0.0,12.56,28.0,50.0,2.0
355.0,normal,C,N,0.14,5.0,2.74,0.0,50.0,2.0
355.0,normal,C,S,0.16,5.0,2.77,0.0,50.0,2.0
355.0,normal,C,E,0.06,0.0,12.62,22.0,50.0,2.0
355.0,normal,C,W,0.04,0.0,12.57,28.0,50.0,2.0
360.0,normal,C,N,0.14,6.0,2.03,0.0,50.0,3.0
360.0,normal,C,S,0.16,5.0,3.46,0.0,50.0,3.0
360.0,normal,C,E,0.06,0.0,9.78,18.0,50.0,3.0
360.0,normal,C,W,0.04,0.0,12.98,24.0,50.0,3.0
365.0,normal,C,N,0.12,1.0,4.87,4.0,50.0,0.0
365.0,normal,C,S,0.14,1.0,6.08,4.0,50.0,0.0
365.0,normal,C,E,0.08,1.0,9.85,12.0,50.0,0.0
365.0,normal,C,W,0.06,1.0,7.78,18.0,50.0,0.0
370.0,normal,C,N,0.1,0.0,8.3,8.0,50.0,0.0
370.0,normal,C,S,0.12,0.0,7.48,8.0,50.0,0.0
370.0,normal,C,E,0.1,2.0,4.21,6.0,50.0,0.0
370.0,normal,C,W,0.08,2.0,4.53,14.0,50.0,0.0
375.0,normal,C,N,0.04,0.0,12.58,14.0,50.0,0.0
375.0,normal,C,S,0.06,0.0,12.01,14.0,50.0,0.0
375.0,normal,C,E,0.1,4.0,2.53,4.0,50.0,0.0
375.0,normal,C,W,0.08,2.0,6.35,8.0,50.0,0.0
380.0,normal,C,N,0.04,0.0,12.73,16.0,50.0,0.0
380.0,normal,C,S,0.06,0.0,14.56,18.0,50.0,0.0
380.0,normal,C,E,0.12,4.0,3.22,4.0,50.0,0.0
380.0,normal,C,W,0.1,3.0,5.16,6.0,50.0,0.0
385.0,normal,C,N,0.02,0.0,13.38,18.0,50.0,0.0
385.0,normal,C,S,0.04,0.0,13.3,20.0,50.0,0.0
385.0,normal,C,E,0.14,5.0,2.32,2.0,50.0,0.0
385.0,normal,C,W,0.12,4.0,2.98,4.0,50.0,0.0
390.0,normal,C,N,0.06,0.0,13.36,18.0,50.0,0.0
390.0,normal,C,S,0.06,0.0,14.4,20.0,50.0,0.0
390.0,normal,C,E,0.14,5.0,2.98,0.0,50.0,0.0
390.0,normal,C,W,0.14,4.0,4.18,0.0,50.0,0.0
395.0,normal,C,N,0.04,0.0,14.5,20.0,50.0,0.0
395.0,normal,C,S,0.04,0.0,13.86,24.0,50.0,0.0
395.0,normal,C,E,0.16,6.0,2.3,0.0,50.0,0.0
395.0,normal,C,W,0.14,5.0,3.29,0.0,50.0,0.0
400.0,normal,C,N,0.04,0.0,13.17,18.0,50.0,0.0
400.0,normal,C,S,0.04,0.0,14.13,20.0,50.0,0.0
400.0,normal,C,E,0.16,7.0,1.93,0.0,50.0,0.0
400.0,normal,C,W,0.16,6.0,2.68,0.0,50.0,0.0
405.0,normal,C,N,0.04,0.0,13.8,16.0,50.0,1.0
405.0,normal,C,S,0.04,0.0,13.66,18.0,50.0,1.0
405.0,normal,C,E,0.18,7.0,1.77,0.0,50.0,1.0
405.0,normal,C,W,0.18,7.0,1.69,0.0,50.0,1.0
410.0,normal,C,N,0.04,0.0,12.4,10.0,50.0,2.0
410.0,normal,C,S,0.04,0.0,12.66,12.0,50.0,2.0
410.0,normal,C,E,0.16,3.0,2.87,4.0,50.0,2.0
410.0,normal,C,W,0.14,3.0,3.06,4.0,50.0,2.0
415.0,normal,C,N,0.06,1.0,7.92,8.0,50.0,2.0
415.0,normal,C,S,0.06,1.0,6.31,8.0,50.0,2.0
415.0,normal,C,E,0.12,0.0,6.88,8.0,50.0,2.0
415.0,normal,C,W,0.12,0.0,7.5,8.0,50.0,2.0
420.0,normal,C,N,0.06,2.0,4.33,6.0,50.0,2.0
420.0,normal,C,S,0.08,2.0,4.5,6.0,50.0,2.0
